userId	driveInd	speed	v0	v1	ti	texp	tval	t0	t1	hr	hf	squash	wb	wx	wt	wf	et	ef	d	tr	tf	encSpr0	sinRis0	retAdv0	encSpr1	sinRis1	retAdv1	continuity	bias	armLX	armLY	armLZ	armRX	armRY	armRZ	
susand948	10	2	0	0.26361	0.5	1	0	0.01	0.918613	0.183382	2.08797	0.829685	0.137	0	0.12	2	0.4	2	0.4	0.487106	1.0659	1	-1	0.555874	1	-1	0	0.77937	0	-0.558739	0	0	-1	0	0	
susand948	11	2	0.0859599	0	0.504298	1	0	0.01	0.99	0.31	1.35521	0.298252	0.137	-0.292264	0.15	0.3	0.23	0.68	0.164986	0.312321	0.999999	0.430001	-1	0	1	-1	0	-0.916906	0	0	0	0	0	0.538682	0	
susand948	12	1.16218	0	0.260745	0.405444	1	0	0.01	0.798968	0	0	1	0.137	0	0.0538682	0.223496	0.218911	2	0.19255	0.395073	1.78051	-0.280803	0	0	1	1	0	0.916906	0	-1	0	0	-0.0744986	0	-0.137536	
susand948	13	2.27278	0	0	0.5	1	-0.664756	0.01	0.99	0	0	0	0.137	0	0	0	0	0	0	0	0	-0.461318	0.139313	0	-0.449857	1	0	-0.275072	0	0	0	0	0	0	0	
susand948	14	1.14269	0.131805	0.163324	0.5	0.802292	-0.469914	0.0171633	0.707736	0	0	0.839857	0.124106	0	0.272779	0.458453	0.3851	0.985673	0.481375	0.52149	1.65043	1	-1	0	0.366762	-1	0	0.595989	0	-0.82235	-0.114613	-0.120344	-0.17765	-0.441261	-0.148997	
susand948	15	2	0.140401	0	0.660458	1	0	0.0687391	0.99	0	0	0	-0.063	-0.49	0	0	0	0	0	0	0	-0.753582	0.489971	0	-0.856734	-1	0	0	0	0	0	0	0	0	0	
susand948	16	0.570201	0	0.186246	0.373926	1	-0.52149	0.01	0.802416	0.412608	1.65644	0.779284	0.137	0	0.4	2	0.14	1.53101	0.0800001	0.122408	3.68141	0.627507	0	0	1	0	0.389685	0.538682	0	-1	0.229226	-0.120344	-0.664756	0	0	
susand948	17	1.37751	0	0	0.545416	1	0	0	0.99	0.31298	1.33691	0.29	0.137	0	0.08	0.347536	0.27	0.48	0.2	0.412607	0.790832	1	-0.166189	0.398281	1	0	0.495702	0.939828	0	-0.561605	0	0	0.0515761	0	0	
susand948	18	4.46479	0.24	0.292264	0.5	1	0	0.01	0.836676	0.346705	1.27891	0.44	0.137	0	0.4	1.41052	0.4	1.12894	0.818338	0.295501	2.6093	1	0	-0.656161	1	0	-0.593123	0.939828	0	-0.598854	-0.309456	-0.103152	-0.326647	0	0	
susand948	19	5	0.103152	0	0.430516	1.94556	0	0.0433064	0.99	0.347421	1.62751	0.299713	0.0209542	-0.515759	0.14	0.19	0.18	0.39	0.25	0.303725	0.825217	0.480173	-0.681948	-0.489971	0.446991	-0.217765	-0.524355	-0.916906	0	-0.77937	0	0	-0.206304	0	0	
susand948	20	1.32	0	0.424069	0.643266	1	-0.449857	0.01	0.90085	0.108883	0.538682	1	-0.200172	-0.644699	0.361033	1.51289	0.393123	1.4	1.05857	0.378453	2.2808	1	0	0.47851	0.553008	0	0.467049	0.34957	0	-1	-0.275072	0	-0.26361	0	0	
susand948	21	1.32	0	0	0.5	1	-0.200745	0.01	0.99	0	0	0	0.137	0	0	0	0	0	0	0	0	-1	0	0.759312	-1	0.309456	1	0	0	0	0	0	0	0	0	
susand948	22	3.40544	0.146132	0.217765	0	1	0	0.01	0.647564	0.111748	0.2063	1	-0.133774	-0.906877	0.158166	0.664756	0.301433	1.39255	0.0194842	0.306361	2.02865	0.415473	0	-0.432665	0.426934	0	-0.444126	0.893983	0	-1	0	0	-0.223496	0	0	
susand948	23	4.01645	0.0744986	0	0.0931232	1	0.985673	0.01	0.99	0	0	0	-0.023	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	-1	-0.802292	0	0.0630372	-0.154728	0.0859599	0	0	0	
susand948	24	0.832435	0	0.719198	0.511232	1	-0.647564	0.06	0.847348	0.226361	2.47565	1	0.137	-0.25788	0.4	2	0.4	2	0.4	0.452722	1.23782	1	-0.0300007	0.297994	1	1	0	0.446991	0	-1	-0.0974211	-0.131805	-0.882521	-0.389685	0.17765	
susand948	25	0.727393	0	0	0.23	0.979999	0.27	0.01	0.99	0.151863	0	0.17192	0.137	-1.2	0	0	0.117249	0.31	0.09	0.143266	0	1	-0.0293397	-0.727794	0.0429799	1	1	0	0	-0.395416	0	0	-0.641834	0	0	
susand948	26	5	0.200572	0.567335	0.5	0.687221	0	0.01	0.891118	0	0	0.891117	-0.0478137	-1.03238	0.394269	1.91404	0.4	2	0.4	0.415473	1.00859	0	0	-0.30659	0	1	-0.713467	0.939828	0	-1	0	0	-0.498567	0	0	
susand948	27	3.74842	0	0	0.302665	0.643181	0.27	0.01	0.99	0.161347	1.52436	0	0.137	0	0	0	0	0	0	0.169055	0	-1	0	0.733524	-0.911175	1	1	0	0	0	0	0	-0.217765	-0.452722	0	
susand948	28	1.04154	0	0.544413	0.584528	1	-0.985673	0.01	0.891668	0.180515	1.59312	1	-0.5	0	0	0	0	1.03725	0.0694269	0.326648	2.32132	1	-0.489972	0.335244	1	-1	-0.553009	0	0	-1	0.550143	-0.154728	-0.495702	-0.240688	-0.406877	
susand948	29	0.8	0.613181	0	0.310888	1	0	0.00426934	0.99	0.220631	0.653295	0.269341	0.137	0	0	0	0.0756447	0.0573066	0.0114613	0.120344	0.618911	0	-0.902579	-1	0	-1	-1	-0.939828	0	0	0	0	0	0	0	
susand948	30	4.64928	0.389685	0.277937	0.465931	1	0.373266	0.0507317	0.83932	0.44126	1.75358	0.859599	0.137	-0.563037	0	0.670487	0.129513	0.0229225	0.0756447	0.429255	1.0659	1	-0.74212	0.38682	1	-1	0.449857	0	0	-1	-0.0974212	0	-0.584527	0	0	
susand948	31	6.07163	0	0	0.5	1	0	0.262149	0.99	0.0659026	0.137536	0.269341	0.137	0	0	0	0.0756447	0.0573066	0.0114613	0.510029	0.836677	0	-1	-0.524355	0	-1	-0.501433	0.87106	0	0	0	0	0	0	0	
